"V1" "V2" "V3" "v4" "V5" "V6"
15.55 11.8 23 3407 453 1403
16.98 13.61 16 4522 703 2218
15.42 10.4 11 6256 1063 3121
15.67 11.82 14 5601 737 2338
16.23 10.31 17 4433 669 2127
14.71 12.13 15 4684 693 2052
15.44 13.66 14 5824 763 2497
19.74 13.3 23 3668 620 1777
17.48 12.1 16 4241 840 2482
16.84 15.62 18 4050 646 1932
15.95 11.7 10 8292 1222 3584
16.16 11.79 12 5930 814 2775
14.13 11.54 11 6082 940 2884
13.64 11.56 10 6930 853 2816
15.44 11.32 15 5088 738 2311
19.02 12.25 22 3837 480 1791
14.85 12.21 13 5594 952 2556
15.23 14.64 16 4564 662 1971
15.58 12.02 16 4530 736 2216
17.44 12.27 21 4020 608 1722
17.73 10.85 17 4443 807 2348
15.6 13.3 18 3440 696 1810
17.64 11.78 14 5811 938 2840
16.6 12.69 15 5204 805 2308
15.01 11.39 19 3685 614 1779
16.8 13.21 16 5179 769 2263
13.93 13.51 11 6376 956 2851
18.34 11.35 17 9409 701 2188
14.82 9.9 18 4427 744 1852
11.9 13.17 9 7640 1052 2976
13.76 9.78 15 5168 840 2025
16.5 13.97 24 3377 611 1539
15.39 12.61 18 8703 676 1839
15.41 9.49 10 7458 1081 3235
15.16 11.16 13 5852 917 2449
14.08 10.53 14 4761 803 2117
15.9 13.14 14 5396 853 2358
16 11.87 16 4751 852 2073
17.23 13.11 18 4307 795 2002
14.31 11.43 14 4684 900 2141
14.3 10.98 19 4273 595 1565
14.27 15.83 13 5608 797 2278
12.03 12.1 19 3900 533 1315
18.3 2.6 22 7192 548 1667
15.98 2.64 21 3117 452 1611
20.24 1.97 29 2963 441 1462
18.48 1.25 24 2852 473 1609
19.09 2.21 32 5346 311 1298
19.88 2.05 24 6387 384 1621
18.38 1.98 16 4905 665 2589
19.42 2.27 18 4627 542 2227
17.22 2.21 18 4380 549 2148
10.96 2.55 16 3907 405 1416
14.41 2.88 16 4421 474 2019
15.79 2.13 21 3966 436 1557
13.46 2.45 9 9353 804 3348
18.38 2.22 29 2754 393 1314
14.52 1.46 10 7992 720 3248
16.84 2.33 21 3571 483 1660
17.85 2.11 17 5040 601 2401
18.34 2.81 25 2906 459 1528
15.67 2.38 16 4995 559 2207
19.73 2.74 26 3023 505 1585
14.23 2.57 17 4211 556 1887
18.38 2.25 30 2586 435 1278
15.38 2.49 19 4266 534 1824
16.44 3.15 19 3755 546 1812
15.26 1.86 11 5787 897 3124
17.65 2.51 28 2681 426 1322
18.3 2.45 25 3154 495 1648
18.71 1.09 31 2462 411 1261
16.84 2.43 19 4061 624 1956
18.4 2.68 30 2530 459 1283
18.53 1.73 24 2957 563 1695
17.01 1.54 22 3063 561 1652
15.69 2.25 24 3130 448 1434
19.44 3.31 17 4479 722 2442
19.96 1.59 30 2738 469 1423
19.29 2.23 18 3980 638 2287
12.98 1.96 15 10168 539 1785
21.03 2.11 28 2964 494 1577
17.18 1.93 23 3013 500 1552
18.08 2.13 27 2813 456 1390
20.45 2.19 27 2569 504 1585
19.14 1.94 27 2651 519 1486
15.33 1.72 19 4475 576 1700
16.33 2.41 28 5357 414 1195
17.92 2.38 30 2800 460 1284
21.75 6.22 26 2714 592 1764
22.58 7.35 19 3770 768 2540
24.42 2.5 25 2926 676 2086
22.09 5.22 20 3105 733 2360
25.24 3.46 36 2128 447 1511
21.18 5.85 11 6540 1049 4108
28.16 4.94 19 4329 881 3164
21.99 5.37 18 3873 586 2605
24.58 2.94 24 2967 592 2181
22.77 6.18 19 3688 769 2549
24.24 5.36 17 4221 942 3030
23.06 4.09 16 3922 994 3103
15.32 7.94 23 3274 468 1437
23.64 5.61 16 4575 828 3413
22.83 3.72 26 2887 612 1895
22.68 4.81 28 2559 530 1870
23.75 6.7 23 3190 680 2213
18.33 3.73 16 4507 710 2648
23.03 5.56 19 3720 826 2590
26.22 5.38 21 3126 778 2882
24.96 3.71 25 2844 665 2147
22.32 5.68 17 5051 876 3161
22.39 7.59 21 3177 773 2294
24.71 4.56 21 6969 729 2432
27.1 4.43 15 4628 1169 3933
19.38 6.21 12 6090 977 3595
23.97 5.44 19 3597 789 2751
27.43 1.74 22 3363 764 2657
24.55 5.46 19 4115 827 2722
21.01 4.43 14 4838 909 3161
23.31 1.45 16 4147 973 3075
23.97 5.35 20 3363 813 2529
24.77 4.48 22 3256 758 2378
24.16 4.53 23 3378 731 2220
22.17 5.07 20 3018 741 2338
23.14 4.32 23 3292 656 2122
24.26 4.74 20 3618 778 2560
22.06 8.17 23 3190 612 2416
22.55 8.67 13 5386 1005 4011
18.85 9.87 15 4748 757 2907
